N	Language	ISO-639 code	Text
--------------------------------------------------
1	afrikaans	af		Goeie dag
2	albanian	sq		Diten e mire
3	amharic		am		እንደምን ዋልክ
4	arabic		ar		يوم جيد
5	armenian	hy		Լավ օր
6	azerbaijani	az		Yaxşı gün
7	basque		eu		Egun ona
8	belarusian	be		Добры дзень
9	bengali		bn		শুভ দিন
10	bosnian		bs		Dobar dan
11	bulgarian	bg		Добър ден
12	catalan		ca		Bon dia
13	cebuano		ceb		Maayong adlaw
14	chichewa	ny		Tsiku labwino
15	chinese (simplified)	zh-cn		再会
16	chinese (traditional)	zh-tw		再會
17	corsican	co		Bella ghjurnata
18	croatian	hr		Dobar dan
19	czech		cs		Dobrý den
20	danish		da		God dag
21	dutch		nl		Goededag
22	english		en		Good day
23	esperanto	eo		Bonan tagon
24	estonian	et		Head päeva
25	filipino	tl		Magandang araw
26	finnish		fi		Hyvää päivää
27	french		fr		Bonne journée
28	frisian		fy		Goeie
29	galician	gl		Bo día
30	georgian	ka		Კარგი დღე
31	german		de		Guten Tag
32	greek		el		Καλή μέρα
33	gujarati	gu		અનેક દિવસ
34	haitian creole	ht		Bonjou
35	hausa		ha		Ina kwana
36	hawaiian	haw		He lā maikaʻi
37	hebrew		iw		יום טוב
38	hebrew		he		יום טוב
39	hindi		hi		शुभ दिन
40	hmong		hmn		Nyob zoo hnub
41	hungarian	hu		Jó nap
42	icelandic	is		Góðan dag
43	igbo		ig		Ehihie ọma
44	indonesian	id		Selamat tinggal
45	irish		ga		Lá maith
46	italian		it		Buona giornata
47	japanese	ja		良い一日
48	javanese	jw		Dina sing apik
49	kannada		kn		ಶುಭ ದಿನ
50	kazakh		kk		Қайырлы күн
51	khmer		km		ថ្ងៃ​ល្អ
52	korean		ko		안녕하세요
53	kurdish (kurmanji)	ku		Roj baş
54	kyrgyz		ky		Кайырдуу күн
55	lao		lo		ວັນດີ
56	latin		la		Bonam diem
57	latvian		lv		Laba diena
58	lithuanian	lt		Gera diena
59	luxembourgish	lb		Gudden Dag
60	macedonian	mk		Добар ден
61	malagasy	mg		Andro tsara
62	malay		ms		Selamat hari
63	malayalam	ml		ശുഭദിനം
64	maltese		mt		Il-ġurnata t-tajba
65	maori		mi		Rā pai
66	marathi		mr		शुभ दिवस
67	mongolian	mn		Сайхан өдөр
68	myanmar (burmese)	my		ကောင်းသောနေ့
69	nepali		ne		शुभ दिन
70	norwegian	no		God dag
71	odia		or		ଦିନଟି ଭଲରେ କଟୁ
72	pashto		ps		ښه ورځ
73	persian		fa		روز خوب
74	polish		pl		Dobry dzień
75	portuguese	pt		Bom dia
76	punjabi		pa		ਚੰਗਾ ਦਿਨ
77	romanian	ro		O zi buna
78	russian		ru		Добрий день
79	samoan		sm		Manuia le aso
80	scots gaelic	gd		Latha math
81	serbian		sr		Добар дан
82	sesotho		st		Lumela
83	shona		sn		Zuva rakanaka
84	sindhi		sd		توهان جو ڏينهن سٺو گذري
85	sinhala		si		සුබ දිනක්
86	slovak		sk		Dobrý deň
87	slovenian	sl		Dober dan
88	somali		so		Maalin wacan
89	spanish		es		Buen día
90	sundanese	su		Wilujeng siang
91	swahili		sw		Siku njema
92	swedish		sv		God dag
93	tajik		tg		Рӯзи нағз
94	tamil		ta		நல்ல நாள்
95	telugu		te		మంచి రోజు
96	thai		th		ขอให้เป็นวันที่ดี
97	turkish		tr		İyi günler
98	ukrainian	uk		Добрий день
99	urdu		ur		اچھا دن
100	uyghur		ug		خەيرلىك كۈن
101	uzbek		uz		Xayrli kun
102	vietnamese	vi		ngày tốt
103	welsh		cy		Diwrnod da
104	xhosa		xh		Mholweni emini nje
105	yiddish		yi		א גוטן טאג
106	yoruba		yo		Ojo dada
107	zulu		zu		Usuku oluhle
